2025-08-16T14:26:43.335 | GENERAL       | INFO  | CellTypeDeconvolutionFramework initialized successfully
2025-08-16T14:27:10.318 | GENERAL       | INFO  | CellTypeDeconvolutionFramework initialized successfully
2025-08-16T14:27:47.657 | GENERAL       | INFO  | CellTypeDeconvolutionFramework initialized successfully
2025-08-16T14:28:48.338 | GENERAL       | INFO  | CellTypeDeconvolutionFramework initialized successfully
2025-08-16T14:34:25.758 | GENERAL       | INFO  | CellTypeDeconvolutionFramework initialized successfully
2025-08-16T14:35:57.992 | GENERAL       | INFO  | CellTypeDeconvolutionFramework initialized successfully
2025-08-16T14:38:44.736 | GENERAL       | INFO  | CellTypeDeconvolutionFramework initialized successfully
2025-08-16T14:41:12.387 | GENERAL       | INFO  | CellTypeDeconvolutionFramework initialized successfully
2025-08-16T14:43:47.473 | GENERAL       | INFO  | CellTypeDeconvolutionFramework initialized successfully
2025-08-16T14:48:53.926 | GENERAL       | INFO  | CellTypeDeconvolutionFramework initialized successfully
2025-08-16T14:52:25.551 | GENERAL       | INFO  | CellTypeDeconvolutionFramework initialized successfully
2025-08-16T14:54:38.871 | GENERAL       | INFO  | CellTypeDeconvolutionFramework initialized successfully
